Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Availability 365;Review Scores Rating
112.0;Pueblo Nuevo;Madrid;Spain;Apartment;Entire home/apt;6;2.0;150.0;20.0;4;5;294;85.0
78.0;Sol;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;10.0;1;0;296;91.0
50.0;Casco Histórico de Vallecas;Madrid;Spain;Apartment;Entire home/apt;4;1.0;500.0;25.0;3;0;76;94.0
143.0;Goya;Madrid;Spain;Apartment;Entire home/apt;2;2.0;500.0;100.0;1;0;365;100.0
20.0;Ventas;Madrid;Spain;Apartment;Private room;2;1.0;100.0;;1;10;144;88.0
37.0;Palacio;Madrid;Spain;Apartment;Entire home/apt;3;1.0;100.0;30.0;1;30;274;93.0
20.0;San Isidro;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;117;92.0
35.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;1;1.0;;15.0;1;0;342;
30.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;0;57;100.0
50.0;Dublin City;Dublin;Ireland;Other;Private room;1;1.0;100.0;15.0;1;0;346;
95.0;Downtown;Vancouver;Canada;Apartment;Entire home/apt;2;1.0;200.0;40.0;1;0;0;95.0
35.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;100.0;;1;10;345;90.0
35.0;Pueblo Nuevo;Madrid;Spain;Apartment;Private room;1;0.0;;;1;0;365;
49.0;Trafalgar;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;30.0;1;10;150;77.0
25.0;Embajadores;Madrid;Spain;Apartment;Private room;2;1.0;;5.0;1;5;344;
63.0;Cortes;Madrid;Spain;Apartment;Entire home/apt;3;1.0;80.0;35.0;2;40;57;94.0
45.0;Universidad;Madrid;Spain;Apartment;Private room;2;1.0;;15.0;1;10;310;100.0
35.0;Trafalgar;Madrid;Spain;House;Private room;2;2.0;;5.0;1;10;167;96.0
100.0;Goya;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;;1;0;232;97.0
119.0;Sol;Madrid;Spain;Apartment;Entire home/apt;5;1.0;100.0;30.0;7;20;85;
35.0;Ventas;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;15.0;1;15;348;78.0
250.0;Justicia;Madrid;Spain;Apartment;Entire home/apt;1;1.0;;;1;0;179;
13.0;Guindalera;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;344;100.0
150.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;4;1.0;;77.0;2;17;186;
77.0;Gaztambide;Madrid;Spain;Apartment;Entire home/apt;2;1.0;;;1;0;44;100.0
